id,LANDSAT_SCENE_ID,Hylak_id,date,date_start,date_end,ice_fraction_visual,comission,omission,notes,comments
PJD30,LT50170291986355XXX03,109347,1986-12-21,1986-04-16,1986-12-21,5,,,,
LR2,LT50150301993120AAA02,111143,1993-04-30,1993-04-15,1993-12-17,NA,,,cloud,
JJM9,LT50240301991338XXX02,9091,1991-12-04,1991-03-23,1991-12-04,5,,,,
KMS20,LT50150291994347XXX01,110431,1994-12-13,1994-04-16,1994-12-28,,,,cloud,
KMS21,LT50150291994331XXX02,109893,1994-11-27,1994-04-27,1994-12-09,4,,,,
LR2,LT50150302000348XXX02,111143,2000-12-13,2000-03-23,2000-12-20,5,,,,
MICH01,LT50210301992320XXX02,1048146,1992-11-15,1992-04-07,1992-11-26,NA,,,unclear,small lake
KMS8,LT50170311991353AAA02,9129,1991-12-19,1991-03-25,1991-12-22,5,,,,
JK37,LE71940122001156SGS00,138094,2001-06-05,2001-05-23,2001-11-03,NA,,,cloud,
JK17,LT51870172001339MTI00,12560,2001-12-05,2001-04-28,2001-12-13,2,,,topo shadow; poor img quality,"Fmask better than RF, poor img quality mess with texture detector in RF"
DMR2,LT50240302000347AAA03,9087,2000-12-12,2000-03-06,2000-12-13,4,,,,
KMS25,LT50160302000339XXX02,1049409,2000-12-04,2000-03-27,2000-12-08,NA,,,unclear,small lake
DMR1,LT50240302004006PAC02,9086,2004-01-06,2003-04-03,2004-01-07,3,,,,
JK50,LE71930122000163SGS00,11553,2000-06-11,2000-05-28,2000-10-31,NA,,,cloud,
WRS231,LT50540191985323PAC00,5124,1985-11-19,1985-06-01,1985-11-26,1,TRUE,,cloud,
NEUS,LT51890272004330KIS00,1242,2004-11-25,2004-03-12,2004-11-26,1,TRUE,,,turbid water
KMS24,LT50150291995334XXX01,9014,1995-11-30,1995-04-01,1995-11-30,3,,,,
KMS27,LE70130312000358EDC01,1054365,2000-12-23,2000-03-09,2000-12-23,4,,,,
WRS361,LT50400221985321PAC02,536,1985-11-17,1985-05-21,1985-11-20,4,TRUE,,,thin cloud not identified by Fmask and misclassified as ice
JK10,LT51880162001314MTI00,12280,2001-11-10,2001-05-02,2001-11-20,4,,,,
JK36,LE71900142001144KIS00,11852,2001-05-24,2001-05-09,2001-11-02,NA,,,cloud,
KMS14,LT50150302000364XXX03,9102,2000-12-29,2000-03-25,2000-12-29,5,,,,
KMS25,LE70160302002352EDC00,1049409,2002-12-18,2002-03-15,2002-12-19,5,,,,
KMS1,LT50150291991339XXX02,110501,1991-12-05,1991-03-29,1991-12-18,2,TRUE,,cloud,thin cloud not identified by Fmask and misclassified as ice
KMS5,LT50150301995334XXX01,1050721,1995-11-30,1995-03-26,1995-12-06,NA,,,unclear,small lake
MICH05,LT50210311990346XXX03,111596,1990-12-12,1990-03-06,1990-12-26,NA,,,cloud,
JJM26,LT50250301986347XXX04,110973,1986-12-13,1986-04-01,1986-12-13,NA,,,unclear,small lake
JD01,LT50240301985081XXX04,9091,1985-03-22,1985-03-19,1985-12-03,4,,TRUE,,uniform ice caused omission
DMR1,LT50240301991338XXX02,9086,1991-12-04,1991-03-24,1991-12-18,1,TRUE,,,texture caused comission error
WRS222,LT50350221985126PAC00,570,1985-05-06,1985-04-23,1985-11-18,5,,TRUE,,very dark ice caused omission error
JJM8,LT50240281985337XXX04,8736,1985-12-03,1985-04-24,1985-12-04,4,TRUE,,cloud,also only half of the surface covered by Landsat img.
