id,LANDSAT_SCENE_ID,Hylak_id,date,date_start,date_end,ice_fraction_visual,comission,omission,notes,comments
LR2,LT50150301993120AAA02,111143,1993-04-30,1993-04-15,1993-12-17,done,,,,
KMS20,LT50150291994347XXX01,110431,1994-12-13,1994-04-16,1994-12-28,done,,,,
KMS21,LT50150291994331XXX02,109893,1994-11-27,1994-04-27,1994-12-09,done,,,,
LR2,LT50150302000348XXX02,111143,2000-12-13,2000-03-23,2000-12-20,done,,,,
MICH01,LT50210301992320XXX02,1048146,1992-11-15,1992-04-07,1992-11-26,done,,,,
KMS8,LT50170311991353AAA02,9129,1991-12-19,1991-03-25,1991-12-22,done,,,,
JK37,LE71940122001156SGS00,138094,2001-06-05,2001-05-23,2001-11-03,done,,,,
JK17,LT51870172001339MTI00,12560,2001-12-05,2001-04-28,2001-12-13,done,,,,
DMR2,LT50240302000347AAA03,9087,2000-12-12,2000-03-06,2000-12-13,done,,,,
KMS25,LT50160302000339XXX02,1049409,2000-12-04,2000-03-27,2000-12-08,done,,,,
DMR1,LT50240302004006PAC02,9086,2004-01-06,2003-04-03,2004-01-07,done,,,,
JK50,LE71930122000163SGS00,11553,2000-06-11,2000-05-28,2000-10-31,done,,,,
WRS231,LT50540191985323PAC00,5124,1985-11-19,1985-06-01,1985-11-26,done,,,,
NEUS,LT51890272004330KIS00,1242,2004-11-25,2004-03-12,2004-11-26,done,,,,
WRS361,LT50400221985321PAC02,536,1985-11-17,1985-05-21,1985-11-20,done,,,,
JK10,LT51880162001314MTI00,12280,2001-11-10,2001-05-02,2001-11-20,done,,,,
JK36,LE71900142001144KIS00,11852,2001-05-24,2001-05-09,2001-11-02,done,,,,
KMS25,LE70160302002352EDC00,1049409,2002-12-18,2002-03-15,2002-12-19,done,,,,
KMS1,LT50150291991339XXX02,110501,1991-12-05,1991-03-29,1991-12-18,done,,,,
KMS5,LT50150301995334XXX01,1050721,1995-11-30,1995-03-26,1995-12-06,done,,,,
MICH05,LT50210311990346XXX03,111596,1990-12-12,1990-03-06,1990-12-26,done,,,,
JD01,LT50240301985081XXX04,9091,1985-03-22,1985-03-19,1985-12-03,done,,,,
DMR1,LT50240301991338XXX02,9086,1991-12-04,1991-03-24,1991-12-18,done,,,,
WRS222,LT50350221985126PAC00,570,1985-05-06,1985-04-23,1985-11-18,done,,,,
JJM8,LT50240281985337XXX04,8736,1985-12-03,1985-04-24,1985-12-04,done,,,,
MICH03,LT50210311988005XXX03,111349,1988-01-05,1987-03-17,1988-01-06,done,,,,
JK10,LT51890161992297KIS00,12280,1992-10-23,1992-05-11,1992-10-31,done,,,,
WRS233,LT50210121990186PAC00,2391,1990-07-05,1990-06-20,1990-10-02,done,,,,
JJM26,LT50250302003026LGS01,110973,2003-01-26,2002-04-04,2003-01-27,done,,,,
KMS14,LT50150301993120AAA02,9102,1993-04-30,1993-04-16,1994-01-06,done,,,,
EK10,LT51880161991127KIS00,12250,1991-05-07,1991-04-30,1991-12-25,done,,,,
WRS237,LT50350201990140PAC00,73259,1990-05-20,1990-05-16,1991-02-11,done,,,,
MICH03,LT50210311989023XXX02,111349,1989-01-23,1988-03-21,1989-02-04,done,,,,
WRS214,LT50280251990315XXX02,961464,1990-11-11,1990-04-29,1990-11-22,done,,,,
JK16,LE71870172003129KIS00,12618,2003-05-09,2003-05-08,2003-12-07,done,,,,
WRS366,LT50290241988333XXX01,650,1988-11-28,1988-05-05,1988-11-29,done,,,,
JK21,LT51890161992297KIS00,1114,1992-10-23,1992-05-10,1992-10-31,done,,,,
GW592,LT51940121986299XXX03,11572,1986-10-26,1986-05-26,1986-11-10,done,,,,
KMS14,LT50150301998038XXX01,9102,1998-02-07,1997-04-07,1998-02-16,done,,,,
JK49,LT51890172005108KIS00,12657,2005-04-18,2004-11-20,2005-04-19,done,,,,
GW202,LE71950182000113SGS00,12717,2000-04-22,1999-12-14,2000-04-26,done,,,,
WRS346,LT50270261985118XXX01,8275,1985-04-28,1984-11-11,1985-04-30,done,,,,
JK42,LT51890152006127KIS00,12019,2006-05-07,2005-12-08,2006-05-09,done,,,,
PJD27,LT50160291986092XXX03,109687,1986-04-02,1985-12-16,1986-04-09,done,,,,
MICH06,LT50210311984330XXX07,1050788,1984-11-25,1984-11-20,1985-03-17,done,,,,
JGL02,LT50270301986329XXX03,9069,1986-11-25,1986-11-13,1987-03-08,done,,,,
JJM27,LE70230302003084EDC00,9110,2003-03-25,2003-01-22,2003-03-31,done,,,,
WRS322,LT50470161992150PAC00,52043,1992-05-29,1991-10-18,1992-06-02,done,,,,
JK43,LT51890181985133KIS00,155918,1985-05-13,1984-11-27,1985-05-14,done,,,,
JGL03,LT50280302002364LGS01,9069,2002-12-30,2002-12-26,2003-03-27,done,,,,
WRS223,LT50410221987126PAC04,551,1987-05-06,1986-12-20,1987-05-07,done,,,,
KMS15,LE70150292001118EDC00,110381,2001-04-28,2000-12-09,2001-05-03,done,,,,
WRS212,LT50360241985117PAC00,631,1985-04-27,1984-10-30,1985-05-02,done,,,,
EK11,LT51900151990122KIS00,12155,1990-05-02,1989-11-22,1990-05-04,done,,,,
WRS231,LT50550191986157XXX01,5124,1986-06-06,1985-11-26,1986-06-07,done,,,,
JJM27,LT50240301995349XXX01,9110,1995-12-15,1995-12-11,1996-04-02,done,,,,
MINN2,LT50290281998344XXX01,8616,1998-12-10,1998-12-07,1999-04-13,done,,,,
JK48,LT51910162006125KIS00,12290,2006-05-05,2005-12-04,2006-05-06,done,,,,
JJM27,LT50240301996080XXX01,9110,1996-03-20,1995-12-11,1996-04-02,done,,,,
JGL01,LE70280302000063EDC00,9065,2000-03-03,1999-12-16,2000-03-06,done,,,,
JK23,LT51890161994126KIS00,1109,1994-05-06,1993-11-08,1994-05-08,done,,,,
JJM22,LT50260281997112XXX01,8787,1997-04-22,1996-11-24,1997-04-24,done,,,,
JK24,LT51890161994126KIS00,12159,1994-05-06,1993-10-21,1994-05-07,done,,,,
JK09,LT51880161988135KIS00,1110,1988-05-14,1987-11-16,1988-05-16,done,,,,
WRS233,LT50230121990280PAC00,2391,1990-10-07,1990-10-02,1991-06-15,done,,,,
JK36,LT51890142006127KIS00,11852,2006-05-07,2005-11-18,2006-05-08,done,,,,
KMS25,LT50160301994098PAC03,1049409,1994-04-08,1993-12-24,1994-04-20,done,,,,
JK21,LT51880161998130KIS00,1114,1998-05-10,1997-11-05,1998-05-11,done,,,,
EK17,LT51900161992128KIS00,152593,1992-05-07,1991-12-06,1992-05-08,done,,,,
JK20,LT51890161993123KIS00,152248,1993-05-03,1992-10-27,1993-05-07,done,,,,
JK10,LT51890161993123KIS00,12280,1993-05-03,1992-10-31,1993-05-05,done,,,,
JK14,LT51890172005108KIS00,12565,2005-04-18,2004-11-24,2005-04-29,done,,,,
MICH06,LT50210301992064AAA02,1050788,1992-03-04,1991-12-16,1992-03-05,done,,,,
JJM4,LE70250282000090EDC00,1032388,2000-03-30,1999-12-17,2000-03-31,done,,,,
MICH06,LT50210301995328AAA01,1050788,1995-11-24,1995-11-17,1996-03-19,done,,,,
JK06,LT51890161996132KIS00,12152,1996-05-11,1995-11-17,1996-05-22,done,,,,
WRS434,LT50480241986092PAC02,93274,1986-04-02,1985-11-21,1986-04-06,done,,,,
DMR2,LT50240302004358PAC01,9087,2004-12-23,2004-03-20,2004-12-24,4,,,,
JK36,LE71890141999308SGS02,11852,1999-11-04,1999-05-18,1999-11-11,NA,,,unclear,image poor quality; hazy
JK27,LT51940111986299XXX01,133225,1986-10-26,1986-06-01,1986-11-04,NA,,,unclear,
WRS233,LT50230121990184PAC00,2391,1990-07-03,1990-06-20,1990-10-02,4,,,,
JJM24,LT50240301989348XXX02,9039,1989-12-14,1989-03-07,1989-12-19,1,TRUE,,cloud,misclassified cloud into snow/ice
WRS279,LT50150281991339XXX02,108024,1991-12-05,1991-05-03,1991-12-06,5,,,,
KMS19,LT50150291991339XXX02,1046295,1991-12-05,1991-04-08,1991-12-16,NA,,,unclear,small lake
MINN38,LT50270272003312PAC02,104635,2003-11-08,2003-04-27,2003-11-23,5,,,,
WRS301,LT50430241985326PAC00,7547,1985-11-22,1985-05-09,1985-11-25,5,,,,example show works in topo shadow
PJD12,LT50170291992340PAC03,1040880,1992-12-05,1992-04-30,1992-12-07,5,,,,
KMS25,LT50170301998356XXX01,1049409,1998-12-22,1998-03-31,1998-12-29,NA,,,cloud,
JK07,LT51890161993123KIS00,150750,1993-05-03,1992-10-22,1993-05-04,NA,,,unclear,may have some dark ice
JK22,LT51890161993123KIS00,12226,1993-05-03,1992-10-19,1993-05-04,5,,TRUE,,missed some dark ice
