system:index,glrip_id,Hylak_id,LANDSAT_SCENE_ID,doy,RFSnowIce,FmaskSnowIce,cloud
0000000000000000003b_1_1_LT05_014023_19840414,WRS344,600,LT50140231984105XXX01,104,1.0,0.9998658275157375,0.0
0000000000000000003b_1_1_LT05_014023_19840516,WRS344,600,LT50140231984137PAC02,136,0.9972408983440986,0.97728071877926,1.1354301349856618E-5
0000000000000000003b_1_1_LT05_014023_19840804,WRS344,600,LT50140231984217PAC00,216,1.0,0.8424293941759093,0.7948498482663312
0000000000000000003b_1_1_LT05_014023_19850417,WRS344,600,LT50140231985107PAC05,106,1.0,0.9999687507715043,0.0
0000000000000000003b_1_1_LT05_014023_19850503,WRS344,600,LT50140231985123PAC07,122,0.9999809516654986,0.9997334851655743,0.0
0000000000000000003b_1_1_LT05_014023_19850706,WRS344,600,LT50140231985187PAC03,186,6.904723675513337E-5,0.0,0.04471880381738406
0000000000000000003b_1_1_LT05_015023_19840710,WRS344,600,LT50150231984192XXX02,191,0.9846006759523606,0.9974969579752747,0.021185345984300604
0000000000000000003b_1_1_LT05_015023_19850118,WRS344,600,LT50150231985018PAC02,17,1.0,0.9999678637614811,4.828690546646809E-4
0000000000000000003b_1_1_LT05_015023_19850203,WRS344,600,LT50150231985034PAC02,33,1.0,0.9999963093504214,0.13979305017906457
0000000000000000003b_1_1_LT05_015023_19850219,WRS344,600,LT50150231985050PAC00,49,1.0,1.0,0.32015052467020083
0000000000000000003b_1_1_LT05_015023_19850424,WRS344,600,LT50150231985114PAC00,113,1.0,0.9999481945102043,0.0
0000000000000000003b_1_1_LT05_015023_19850627,WRS344,600,LT50150231985178PAC00,177,3.503298838017333E-4,2.917381262321055E-4,0.9286028592272736
0000000000000000003b_1_1_LT05_015023_19851001,WRS344,600,LT50150231985274PAC02,273,0.001844474170540176,4.949462033958298E-4,0.7216626491992777
0000000000000000003b_1_1_LT05_015023_19851204,WRS344,600,LT50150231985338PAC04,337,1.0,0.9694011481911774,0.347589749275995
00000000000000000041_1_1_LT05_026026_19840418,WRS356,102873,LT50260261984109XXX04,108,0.9127131586375632,0.5888836886781685,7.637949713615994E-4
00000000000000000041_1_1_LT05_026026_19840504,WRS356,102873,LT50260261984125PAC00,124,0.0,0.0,0.0
00000000000000000041_1_1_LT05_026026_19840707,WRS356,102873,LT50260261984189XXX05,188,0.0,0.0,0.13101091001608928
00000000000000000041_1_1_LT05_026026_19840723,WRS356,102873,LT50260261984205PAC00,204,0.0,0.0,0.046324034672642206
00000000000000000041_1_1_LT05_026026_19840824,WRS356,102873,LT50260261984237PAC00,236,0.0013930610653764119,0.0,0.5452787043534759
00000000000000000041_1_1_LT05_026026_19850131,WRS356,102873,LT50260261985031PAC02,30,1.0,1.0,0.06821080115575479
00000000000000000041_1_1_LT05_026026_19850320,WRS356,102873,LT50260261985079PAC00,78,0.9995886455751507,0.9999369152276214,0.0
00000000000000000041_1_1_LT05_026026_19850507,WRS356,102873,LT50260261985127PAC03,126,0.0,0.0,0.2980875408095915
00000000000000000041_1_1_LT05_026026_19850523,WRS356,102873,LT50260261985143PAC00,142,0.0,0.0,0.0
00000000000000000041_1_1_LT05_026026_19850624,WRS356,102873,LT50260261985175PAC04,174,0.0,0.0,0.0
00000000000000000041_1_1_LT05_026026_19850827,WRS356,102873,LT50260261985239PAC08,238,0.0,0.0,0.019101651986857527
00000000000000000041_1_1_LT05_026026_19850912,WRS356,102873,LT50260261985255PAC04,254,0.0,0.0,0.0
00000000000000000041_1_1_LT05_026026_19851014,WRS356,102873,LT50260261985287PAC04,286,0.0,0.0,0.0
00000000000000000041_1_1_LT05_026026_19851030,WRS356,102873,LT50260261985303PAC04,302,0.0,0.0,0.0
00000000000000000041_1_1_LT05_027026_19840316,WRS356,102873,LT50270261984076XXX04,75,1.0,1.0,0.0
00000000000000000041_1_1_LT05_027026_19840527,WRS356,102873,LT50270261984148PAC11,147,0.0,0.0,0.0
00000000000000000041_1_1_LT05_027026_19840628,WRS356,102873,LT50270261984180XXX04,179,0.0,0.0,0.29318152669320086
00000000000000000041_1_1_LT05_027026_19850207,WRS356,102873,LT50270261985038PAC04,37,1.0,0.9997382245483969,0.03206426930628651
00000000000000000041_1_1_LT05_027026_19850428,WRS356,102873,LT50270261985118XXX01,117,6.266768297451485E-4,0.0,0.0
00000000000000000041_1_1_LT05_027026_19851021,WRS356,102873,LT50270261985294PAC05,293,0.0,0.0,0.0
0000000000000000004f_1_1_LT05_035025_19840417,WRS428,98797,LT50350251984108XXX01,107,0.05182414990342204,0.0,0.0
0000000000000000004f_1_1_LT05_035025_19840706,WRS428,98797,LT50350251984188XXX02,187,0.01749570139533468,0.0,0.011369722060088934
